"seq","status","title","content","music","persons","sel persons","places","source","length","YV length/s","yt1-start","yt1-end","t-start","t-end"
1,"unvollständig","Titelsequenz","Der von Karel Fischer geleitete Chor singt Mendelssohn-Bartholdys „Elias“.","Felix Mendelsohn-Bartholdy: „Elias“","Karel Fischer, Jo Spier","Karel Fischer; Jo Spier",,1,"32:06",39,,,"0:50.760","1:24.600"
2,"vollständig","Entstehungsgeschichte","Die Entstehungsgeschichte der Festung Theresienstadt, illustriert durch Zeichnungen von Jo Spier.",,,,,1,"50:10",51,,,"1:34","2:25.040"
3,"verschollen","Jazzband","Stadtplatz mit Jazzband in einem Musikpavillon, die Zuhörer stehen oder sitzen auf Parkbänken.",,,,,,"2:20",,,,,
4,"verschollen","Terrasse","Terrasse mit Sonnenschirmen, Kellnerinnen servieren Limonade, Leute spazieren in dem sich anschließenden Garten auf und ab.",,"(Prominente: der ""Judenälteste"" und frühere Berliner Universitätsprofessor Paul Eppstein; die früheren tschechischen Minister Alfred Meissner und Georg Gradnauer; der französische Minister Léon Meyer; der österreichische Feldmarschall Johann Friedländer und Generalmajor Emil Sommer; der dänische Oberrabbiner Max Friediger und Frau Clara von Schultz, die Witwe eines dänischen Flotten-Kommandeurs). ","Paul Eppstein; Alfred Meissner; Georg Gradnauer; Léon Meyer; Johann Friedländer; Emil Sommer; Max Friedinger; Clara von Schultz",,,"12:23",,,,,
5,"Aufnahme von den Dreharbeiten","Kaffeehaus","Abendliche Stimmung mit Musik und Tanz.",,,,,,"4:20",,,,,
6,"vollständig","Freizeit","Freizeit auf den Stadtwällen: Alte Männer spielen Schach und alte Frauen lesen. Leute genießen die Zeit auf den Stadtwällen. Leute sitzen auf Bänken, liegen allein oder in Gruppen auf Decken. Vier Mädchen machen Gymnastik. Ein Mann zeichnet, andere lesen, stricken oder baden in der Sonne. Blick auf die ländliche Umgebung.",,,,"Stadtwälle",1,"1:27:07",93,,,"2:26.200","3:57.720"
7,"vollständig","Sport","Sport auf einer der Basteien. Männer laufen und zwei Frauenmannschaften spielen Handball.",,,,"Bastei",,"30:07",31,,,"3:58.040","4:29.600"
8,"Aufnahme von den Dreharbeiten","Theater","Bühnenszenen aus Offenbachs Hoffmanns Erzählungen und aus dem jiddischen Stück „In mitt'n Weg“. ",,"Julia Salinger","Julia Salinger",,,"4:24",,,,,
9,"verschollen","Beginnender Werktag","Der Stadtplatz am Beginn eines Werktages: Gruppen singender Männer und Frauen mit geschulterten Spaten und Rechen marschieren singend zur Arbeit. ",,,,"Stadtplatz",,,,,,,
10,"vollständig","Selbstverwaltung","Die jüdische Selbstverwaltung: eine Sitzung des Ältestenrates, die Ältesten hören einer Rede des Judenältesten Paul Eppstein zu.",,"Paul Eppstein ","Paul Eppstein; Benjamin Murmelstein",,2,"1:58:16",,,,,
